repository_normalized,url,source_count,source_catalogues,status
koki-develop/fizzbuzz-jev,https://github.com/koki-develop/fizzbuzz-jev,2,"[""RadRebelSam/awesome-jev"", ""mabodx/awesome-jev""]",unverified_outgoing_link_candidate
koksalkapucuoglu/resume-enhance,https://github.com/koksalkapucuoglu/resume-enhance,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kokuren333/jev-jmle-benchmark,https://github.com/kokuren333/jev-jmle-benchmark,4,"[""dog-last/awesome-jev"", ""mabodx/awesome-jev"", ""stainlu/awesome-jev"", ""wh000wh000/awesome-jev-live""]",unverified_outgoing_link_candidate
kolawong/fast-compaction-dsh,https://github.com/kolawong/fast-compaction-dsh,3,"[""RadRebelSam/awesome-jev"", ""logicrw/awesome-jev-projects"", ""wh000wh000/awesome-jev-live""]",unverified_outgoing_link_candidate
kolibril13/jev-in-blender-experiment,https://github.com/kolibril13/jev-in-blender-experiment,2,"[""KennethAshley/awesome-jev"", ""logicrw/awesome-jev-projects""]",unverified_outgoing_link_candidate
koltyakov/varro,https://github.com/koltyakov/varro,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
komikat/jev-bfs,https://github.com/komikat/jev-bfs,12,"[""Omrigotlieb/awesome-jev"", ""daftAI2026/awesome-jev"", ""ham-zax/awesome-jev"", ""hellogumbo/awesome-jev"", ""heyjunpenn/awesome-jev"", ""kraayenjon/awesome-jev"", ""logicrw/awesome-jev-projects"", ""mabodx/awesome-jev"", ""oxwen11/awesome-jev"", ""thevibeworks/awesome-typesafe-jev"", ""v-modal/awesome-jev-tools"", ""yibie/awesome-jev""]",unverified_outgoing_link_candidate
komikat/psearch,https://github.com/komikat/psearch,6,"[""Omrigotlieb/awesome-jev"", ""daftAI2026/awesome-jev"", ""hellogumbo/awesome-jev"", ""heyjunpenn/awesome-jev"", ""mabodx/awesome-jev"", ""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
komorra/eugeniusz,https://github.com/komorra/eugeniusz,1,"[""jtnkminimal/awesome-jev""]",unverified_outgoing_link_candidate
kong75/jev-directory,https://github.com/kong75/jev-directory,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
konghayao/laya-jev,https://github.com/konghayao/laya-jev,1,"[""daftAI2026/awesome-jev""]",unverified_outgoing_link_candidate
kongyo2/similarity-ts-jev,https://github.com/kongyo2/similarity-ts-jev,1,"[""AppitStudio/awesome-jev""]",unverified_outgoing_link_candidate
konstantinosbotonakis/codex-context-diet,https://github.com/konstantinosbotonakis/codex-context-diet,2,"[""stainlu/awesome-jev"", ""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
konsumer/opendecision,https://github.com/konsumer/opendecision,1,"[""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
koojy/jev-plugins,https://github.com/koojy/jev-plugins,1,"[""wh000wh000/awesome-jev-live""]",unverified_outgoing_link_candidate
korbeil/opencode-jev-plugin,https://github.com/korbeil/opencode-jev-plugin,2,"[""daftAI2026/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kortexa-ai/mappity,https://github.com/kortexa-ai/mappity,1,"[""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
koskimas/kysely,https://github.com/koskimas/kysely,1,"[""jellydn/awesome-typesafe""]",unverified_outgoing_link_candidate
kostysh/goblin-hr,https://github.com/kostysh/goblin-hr,2,"[""stainlu/awesome-jev"", ""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
